,zCMB,mB,x1,c,HOST_LOGMASS,IDSURVEY,zHEL,RA,DEC,x1ERR,cERR,COV_x1_c
19969_1.0,0.17428073579506284,20.25794,0.063822,0.0180368,10.367,1.0,0.17532,31.9105,-0.324,0.25331,0.0271399,0.00120766
1996C_61.0,0.02874621825377148,16.36106,0.66261,0.0425137,9.36646,61.0,0.02823,207.702499,49.3186,0.13046,0.0293316,-0.000605728
1996bl_61.0,0.034805074538684345,16.44954,-0.152679,-0.0192619,10.1459,61.0,0.036,9.0749,11.3946,0.10963,0.0315719,0.000164367
1996bv_61.0,0.016729334399096803,15.11185,0.70324,0.14673,10.0622,61.0,0.01667,94.054199,57.052502,0.20474,0.0316815,-0.000578155
1997E_62.0,0.013137859987649854,14.90152,-1.75207,0.0160544,8.75604,62.0,0.01315,101.908699,74.497498,0.0908642,0.0333423,-0.000386056
1997dg_62.0,0.029614036757539174,16.62948,-0.316156,-0.0278146,8.80558,62.0,0.03081,355.059204,26.2033,0.17535,0.0305457,-0.000221638
1997do_62.0,0.010476949472779676,14.13958,0.39341,0.077583,9.594,62.0,0.01012,111.677101,47.0933,0.11191,0.0278547,0.000109468
1998V_62.0,0.017173847922640754,14.94597,-0.229945,0.00547942,10.5657,62.0,0.01758,275.655792,15.7021,0.064377,0.0408511,-0.00055378
1998ab_62.0,0.02806320072643679,15.87873,0.22754,0.0847796,10.3527,62.0,0.02731,192.196793,41.9245,0.0743117,0.0272086,0.000248509
1998dx_62.0,0.04980697383631114,17.31279,-1.59626,-0.106585,11.2793,62.0,0.05014,272.7995,49.861301,0.29474,0.0330968,0.00053349
1998ef_57.0,0.016094003710797215,14.59229,-1.01696,-0.0635677,10.3088,57.0,0.01711,15.862,32.236801,0.0578995,0.0417361,-0.000471117
1998ef_62.0,0.016094003710797215,14.57611,-1.19643,-0.110187,10.3088,62.0,0.01711,15.862,32.236801,0.11134,0.029975,0.000214243
19990_1.0,0.24883020736768874,21.12762,-1.31072,-0.0909648,10.628,1.0,0.24988,34.8064,-0.3848,0.33362,0.0455452,0.00500858
19992_1.0,0.22631492912620507,20.89415,0.26487,-0.081993,10.628,1.0,0.2278,357.104187,-1.185,0.55787,0.0473104,0.0104504
1999aa_57.0,0.01578843569946953,14.50504,1.57087,-0.0736092,10.8086,57.0,0.01497,126.925102,21.4874,0.0907025,0.040097,-0.000664298
1999aa_62.0,0.01578843569946953,14.45786,1.17396,-0.106794,10.8086,62.0,0.01497,126.925102,21.4874,0.0342664,0.0256481,-0.000259384
