,zCMB,mB,x1,c,HOST_LOGMASS,IDSURVEY,zHEL,RA,DEC,x1ERR,cERR,COV_x1_c
05D2nt_4.0,0.7590425323168701,23.8227,1.53089,-0.0179567,9.054,4.0,0.757,150.242599,2.3727,0.31135,0.0505309,0.00227272
05D3ax_4.0,0.6436406504056267,23.33468,0.60257,-0.0709309,8.442,4.0,0.643,214.823303,52.6875,0.42003,0.0638074,0.0039931
05D3cf_4.0,0.4195678407574242,22.66795,-0.262506,0.000775798,9.609,4.0,0.419,214.222504,52.3451,0.17416,0.0268662,0.000135134
05D3dd_4.0,0.4805673119795187,22.67554,-0.215323,-0.0431711,11.222,4.0,0.48,215.626907,52.6068,0.12525,0.0240225,0.000104265
05D3gp_4.0,0.5806024578930973,23.24198,-0.501929,-0.0822259,9.015,4.0,0.58,215.6763,52.724701,0.38712,0.0437645,0.00421041
05D3gv_4.0,0.7156506954346438,23.70891,-0.842722,-0.0653578,10.726,4.0,0.715,215.246902,53.178902,0.28607,0.0616176,-0.000566423
05D3hh_4.0,0.7666827536662804,24.00688,0.53015,-0.00275298,10.4,4.0,0.766,214.792297,52.959301,0.42108,0.0622057,0.00345112
05D3hs_4.0,0.6646364507424444,23.23047,0.58036,-0.175117,9.004,4.0,0.664,215.306503,52.903801,0.20646,0.0475735,0.00123987
05D3jb_4.0,0.7456641132757961,23.63605,0.93826,-0.0728194,10.471,4.0,0.745,215.541702,52.878101,0.23307,0.0495932,-9.96521e-05
05D3jh_4.0,0.7186790522556824,23.44182,-0.634411,-0.144845,10.815,4.0,0.718,214.355804,52.618801,0.181,0.049147,0.000402465
05D3jk_4.0,0.7366893594580464,23.40482,0.78444,-0.135768,9.457,4.0,0.736,214.197693,52.592499,0.18044,0.045948,-0.00028581
05D3jq_4.0,0.579599324880735,23.0197,1.50416,-0.00442154,8.832,4.0,0.579,215.439301,53.0299,0.20008,0.0269277,-0.000110385
05D3jr_4.0,0.37053037522200405,22.35781,-0.897467,0.0403284,8.008,4.0,0.37,214.869797,52.864799,0.12171,0.0227036,-0.000218261
05D3kt_4.0,0.648639036912506,23.69427,-0.430921,0.0516735,9.138,4.0,0.648,214.973801,52.743,0.19501,0.0480043,0.000476914
05D3lb_4.0,0.6476384763730597,23.62038,0.30349,0.0244028,8.931,4.0,0.647,214.382294,53.1679,0.18291,0.0486722,9.25324e-05
05D3lc_4.0,0.46156291337628014,22.70264,-0.744735,-0.0557917,10.777,4.0,0.461,215.595505,52.478901,0.10714,0.0240195,-4.43891e-05
05D3lr_4.0,0.6006023544610173,23.57479,0.19268,0.0993799,10.873,4.0,0.6,215.550598,53.184299,0.35206,0.0385309,0.00124385
05D3mh_4.0,0.6706527899552456,23.78959,0.65852,0.0481628,10.078,4.0,0.67,214.749298,52.667599,0.4762,0.0541255,0.00418427
05D3mn_4.0,0.7606970271384826,23.74104,-0.223091,-0.0407646,10.432,4.0,0.76,214.688507,52.323101,0.2914,0.0507288,0.00165853
05D3mq_4.0,0.24649168876073166,21.23249,-0.703263,-0.00967161,10.723,4.0,0.246,214.751801,52.385101,0.16543,0.025576,0.000573218
05D3mx_4.0,0.4705721848754813,22.76686,-1.38814,-0.0869171,10.788,4.0,0.47,215.537903,52.2192,0.10565,0.0310353,0.000176151
05D4af_4.0,0.4973696782486405,22.84092,0.11363,-0.0295275,8.986,4.0,0.499,334.138092,-18.0049,0.23312,0.0306831,-0.000522266
05D4ag_4.0,0.6382243479689347,23.62164,0.49764,0.0860437,8.381,4.0,0.64,333.447601,-18.1653,0.47275,0.0589324,0.00904862
05D4av_4.0,0.5073620288018187,23.30148,0.87099,0.16478,10.285,4.0,0.509,333.543915,-17.9119,0.1779,0.0296973,0.000212627
05D4be_4.0,0.5353173127590747,22.60652,0.90843,-0.158608,9.44,4.0,0.537,334.222412,-17.236099,0.12929,0.0275922,3.42474e-05
05D4bf_4.0,0.5872752511102926,23.34776,0.0814417,-0.00532513,10.23,4.0,0.589,334.109802,-18.2321,0.22996,0.0392851,0.00219986
05D4bi_4.0,0.7730705315993068,23.76519,0.97441,-0.130707,9.109,4.0,0.775,333.985596,-17.986099,0.38297,0.0634677,0.000901933
05D4bj_4.0,0.699155219684165,23.83488,0.19285,0.0642318,9.265,4.0,0.701,333.748596,-18.1334,0.29626,0.0549724,0.00131871
05D4bm_4.0,0.37050294135050965,21.94815,0.2366,-0.0728119,9.047,4.0,0.372,334.269196,-17.677601,0.0701955,0.0222548,0.000105215
05D4cn_4.0,0.761078151046241,23.78818,1.1215,0.00798009,10.461,4.0,0.763,333.381104,-17.288799,0.24147,0.0558823,0.000323232
05D4cq_4.0,0.699158435668245,23.46177,0.63738,-0.134624,10.554,4.0,0.701,333.540192,-18.2267,0.26364,0.0536371,0.000832334
05D4cs_4.0,0.7880495770194642,23.69609,1.39711,-0.118113,8.98,4.0,0.79,334.324188,-17.880199,0.21328,0.0482031,-0.000112546
05D4cw_4.0,0.3735042245198359,21.88136,-0.841889,-0.133616,10.503,4.0,0.375,333.70871,-17.7388,0.10283,0.0246103,-0.000144119
05D4dt_4.0,0.40546929341317195,22.5406,-0.984383,-0.0542873,10.429,4.0,0.407,333.607697,-17.671101,0.10459,0.0240777,-4.62367e-05
05D4ef_4.0,0.603262513571591,23.56993,-1.55174,-0.0699962,10.437,4.0,0.605,333.497101,-18.212299,0.20642,0.0350214,-2.6417e-06
05D4ej_4.0,0.5832801725963505,23.4494,0.22167,-0.0250541,10.133,4.0,0.585,333.968811,-18.1957,0.17316,0.0341048,0.000225135
05D4ek_4.0,0.5343259468680918,23.03429,0.26236,0.0668322,10.855,4.0,0.536,334.114685,-17.7363,0.17641,0.0305734,0.000793091
05D4ev_4.0,0.720129084374825,23.9649,-1.12101,-0.0381833,10.883,4.0,0.722,333.376801,-17.7008,0.28246,0.0605883,0.00163431
05D4ff_4.0,0.40047601971301966,22.32907,-0.724544,-0.00702557,10.543,4.0,0.402,334.084015,-18.042601,0.12088,0.0254883,0.000239025
05D4fo_4.0,0.3714998561713987,22.17587,-0.704725,-0.0587014,8.381,4.0,0.373,333.837097,-17.268101,0.0869491,0.0223593,-0.000176018
